Date,Price
2010-02-17,0.0
2010-02-18,0.0
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,0.0
2010-02-23,0.0
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,0.0
2010-02-27,0.0
2010-02-28,0.0
2010-03-13,0.0
2010-03-14,0.0
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,0.0
2010-03-18,0.0
2010-03-19,0.0
2010-03-20,0.0
2010-03-21,0.0
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,0.0
2010-03-27,0.0
2010-03-28,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,0.0
2010-04-13,0.0
2010-04-14,0.0
2010-04-15,0.0
2010-04-16,0.0
2010-04-17,0.0
2010-04-18,0.0
2010-04-19,0.0
2010-04-20,0.0
2010-04-21,0.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-24,0.0
2010-04-25,0.0
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,0.0
2010-04-29,0.0
2010-04-30,0.0
2010-05-13,0.0
2010-05-14,0.0
2010-05-15,0.0
2010-05-16,0.0
2010-05-17,0.0
2010-05-18,0.0
2010-05-19,0.0
2010-05-20,0.0
2010-05-21,0.0
2010-05-22,0.0
2010-05-23,0.0
2010-05-24,0.0
2010-05-25,0.0
2010-05-26,0.0
2010-05-27,0.0
2010-05-28,0.0
2010-05-29,0.0
2010-05-30,0.0
2010-05-31,0.0
2010-06-13,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-19,0.0
2010-06-20,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,0.0
2010-06-25,0.0
2010-06-26,0.0
2010-06-27,0.0
2010-06-28,0.0
2010-06-29,0.0
2010-06-30,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,0.0
2010-07-17,0.0
2010-07-18,0.0
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-24,0.0
2010-07-25,0.0
2010-07-26,0.0
2010-07-27,0.0
2010-07-28,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.0
2010-08-17,0.0769
2010-08-18,0.074
2010-08-19,0.0688
2010-08-20,0.0667
2010-08-21,0.066899
2010-08-22,0.0664
2010-08-23,0.066
2010-08-24,0.066889
2010-08-25,0.0665
2010-08-26,0.066499
2010-08-27,0.065
2010-08-28,0.065
2010-08-29,0.0648
2010-08-30,0.069
2010-08-31,0.06497
2010-09-13,0.06201
2010-09-14,0.0641
2010-09-15,0.175
2010-09-16,0.0619
2010-09-17,0.0609
2010-09-18,0.0609
2010-09-19,0.062599
2010-09-20,0.0634
2010-09-21,0.0633
2010-09-22,0.0628
2010-09-23,0.063
2010-09-24,0.06281
2010-09-25,0.0624
2010-09-26,0.062279
2010-09-27,0.062206
2010-09-28,0.06271
2010-09-29,0.06219
2010-09-30,0.06192
2010-10-13,0.095
2010-10-14,0.105
2010-10-15,0.119
2010-10-16,0.109
2010-10-17,0.1045
2010-10-18,0.103
2010-10-19,0.1024
2010-10-20,0.103
2010-10-21,0.109
2010-10-22,0.107
2010-10-23,0.10901
2010-10-24,0.19
2010-10-25,0.15
2010-10-26,0.19
2010-10-27,0.19
2010-10-28,0.19001
2010-10-29,0.191
2010-10-30,0.1919
2010-10-31,0.199
2010-11-13,0.3
2010-11-14,0.299
2010-11-15,0.2828
2010-11-16,0.2827
2010-11-17,0.28
2010-11-18,0.289999
2010-11-19,0.283
2010-11-20,0.289
2010-11-21,0.29
2010-11-22,0.282
2010-11-23,0.2879
2010-11-24,0.28299
2010-11-25,0.28299
2010-11-26,0.289
2010-11-27,0.284399
2010-11-28,0.28461
2010-11-29,0.279
2010-11-30,0.275
2010-12-13,0.22748
2010-12-14,0.23
2010-12-15,0.2468
2010-12-16,0.2459
2010-12-17,0.255
2010-12-18,0.249
2010-12-19,0.2499
2010-12-20,0.275
2010-12-21,0.26909
2010-12-22,0.267
2010-12-23,0.25
2010-12-24,0.25
2010-12-25,0.25
2010-12-26,0.269999
2010-12-27,0.265
2010-12-28,0.28
2010-12-29,0.301
2010-12-30,0.299999
2010-12-31,0.299999
2011-01-13,0.405
2011-01-14,0.45
2011-01-15,0.4
2011-01-16,0.4
2011-01-17,0.4
2011-01-18,0.38679
2011-01-19,0.3401
2011-01-20,0.3675
2011-01-21,0.44
2011-01-22,0.4299
2011-01-23,0.4443
2011-01-24,0.443
2011-01-25,0.425
2011-01-26,0.425
2011-01-27,0.4174
2011-01-28,0.45
2011-01-29,0.446
2011-01-30,0.48
2011-01-31,0.5
2011-02-13,1.08
2011-02-14,1.08
2011-02-15,1.085
